Event;Date;Team;Winnings
MLG Columbus 2016;2016-04-03T10:00:00.000Z;PENTA      ;20000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;ESC        ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;FlipSid3   ;16750
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Bravado    ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;myXMG      ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Planetkey  ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Envy       ;180750
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Keyd       ;10000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;TSM        ;42000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;CLG        ;41000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Luminosity ;520000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Kinguin    ;10000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Renegades  ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Immunity   ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;eBettle    ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;G2         ;30750
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Liquid     ;72000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Vexed      ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Astralis   ;70000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Gambit     ;8750
MLG Columbus 2016;2016-04-03T10:00:00.000Z;FaZe       ;8750
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Splyce     ;8750
MLG Columbus 2016;2016-04-03T10:00:00.000Z;OpTic      ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;North      ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;GODSENT    ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Immortals  ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;BIG        ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;MIBR       ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;TYLOO      ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Winstrike  ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;ENCE       ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;AVANGAR    ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Vitality   ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;NRG        ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;CR4ZY      ;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;DreamEaters;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;fnatic     ;485000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;NiP        ;375750
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;VeryGames  ;22000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Complexity ;32000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;LGB        ;34000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Recursive  ;10000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Reason     ;4000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;SK         ;502000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Xapso      ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;iBUYPOWER  ;8000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Dignitas   ;64750
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;LDLC       ;132000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;HellRaisers;24000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;3DMAX      ;4000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Titan      ;10000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;mousesports;23500
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Cloud9     ;26750
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Epsilon    ;10000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Wolves     ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;dAT        ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;PENTA      ;20000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;ESC        ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;FlipSid3   ;51750
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Bravado    ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;myXMG      ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Planetkey  ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Envy       ;189500
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Keyd       ;10000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;TSM        ;42000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;CLG        ;49750
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Luminosity ;520000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Kinguin    ;10000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Renegades  ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Immunity   ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;eBettle    ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;G2         ;39500
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Liquid     ;222000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Vexed      ;2000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Astralis   ;105000
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Gambit     ;43750
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;FaZe       ;17500
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Splyce     ;8750
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;OpTic      ;8750
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;North      ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;GODSENT    ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Immortals  ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;BIG        ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;MIBR       ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;TYLOO      ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Winstrike  ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;ENCE       ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;AVANGAR    ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;Vitality   ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;NRG        ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;CR4ZY      ;
ESL One Cologne 2016;2016-07-10T10:00:00.000Z;DreamEaters;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;fnatic     ;555000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;NiP        ;375750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;VeryGames  ;22000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Complexity ;32000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;LGB        ;34000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Recursive  ;10000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Reason     ;4000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;SK         ;572000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Xapso      ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;iBUYPOWER  ;8000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Dignitas   ;64750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;LDLC       ;132000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;HellRaisers;32750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;3DMAX      ;4000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Titan      ;10000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;mousesports;32250
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Cloud9     ;26750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Epsilon    ;10000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Wolves     ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;dAT        ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;PENTA      ;20000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;ESC        ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;FlipSid3   ;60500
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Bravado    ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;myXMG      ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Planetkey  ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Envy       ;198250
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Keyd       ;10000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;TSM        ;42000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;CLG        ;49750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Luminosity ;520000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Kinguin    ;10000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Renegades  ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Immunity   ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;eBettle    ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;G2         ;48250
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Liquid     ;230750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Vexed      ;2000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Astralis   ;605000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Gambit     ;78750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;FaZe       ;52500
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Splyce     ;8750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;OpTic      ;17500
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;North      ;35000
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;GODSENT    ;8750
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Immortals  ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;BIG        ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;MIBR       ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;TYLOO      ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Winstrike  ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;ENCE       ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;AVANGAR    ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;Vitality   ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;NRG        ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;CR4ZY      ;
ELEAGUE Major 2017;2017-01-29T11:00:00.000Z;DreamEaters;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;fnatic     ;590000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;NiP        ;375750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;VeryGames  ;22000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Complexity ;32000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;LGB        ;34000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Recursive  ;10000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Reason     ;4000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;SK         ;607000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Xapso      ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;iBUYPOWER  ;8000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Dignitas   ;64750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;LDLC       ;132000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;HellRaisers;32750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;3DMAX      ;4000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Titan      ;10000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;mousesports;41000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Cloud9     ;35500
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Epsilon    ;10000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Wolves     ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;dAT        ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;PENTA      ;28750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;ESC        ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;FlipSid3   ;69250
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Bravado    ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;myXMG      ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Planetkey  ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Envy       ;198250
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Keyd       ;10000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;TSM        ;42000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;CLG        ;49750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Luminosity ;520000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Kinguin    ;10000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Renegades  ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Immunity   ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;eBettle    ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;G2         ;57000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Liquid     ;230750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Vexed      ;2000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Astralis   ;675000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Gambit     ;578750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;FaZe       ;61250
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Splyce     ;8750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;OpTic      ;17500
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;North      ;70000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;GODSENT    ;8750
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Immortals  ;150000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;BIG        ;35000
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;MIBR       ;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;TYLOO      ;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Winstrike  ;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;ENCE       ;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;AVANGAR    ;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;Vitality   ;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;NRG        ;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;CR4ZY      ;
PGL Major Krakow 2017;2017-07-23T10:00:00.000Z;DreamEaters;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;fnatic     ;625000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;NiP        ;375750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;VeryGames  ;22000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Complexity ;32000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;LGB        ;34000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Recursive  ;10000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Reason     ;4000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;SK         ;677000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Xapso      ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;iBUYPOWER  ;8000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Dignitas   ;64750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;LDLC       ;132000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;HellRaisers;32750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;3DMAX      ;4000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Titan      ;10000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;mousesports;76000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Cloud9     ;535500
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Epsilon    ;10000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Wolves     ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;dAT        ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;PENTA      ;28750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;ESC        ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;FlipSid3   ;69250
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Bravado    ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;myXMG      ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Planetkey  ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Envy       ;198250
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Keyd       ;10000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;TSM        ;42000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;CLG        ;49750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Luminosity ;520000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Kinguin    ;10000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Renegades  ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Immunity   ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;eBettle    ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;G2         ;92000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Liquid     ;239500
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Vexed      ;2000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Astralis   ;683750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Gambit     ;587500
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;FaZe       ;211250
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Splyce     ;8750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;OpTic      ;17500
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;North      ;78750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;GODSENT    ;8750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Immortals  ;150000
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;BIG        ;43750
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;MIBR       ;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;TYLOO      ;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Winstrike  ;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;ENCE       ;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;AVANGAR    ;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;Vitality   ;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;NRG        ;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;CR4ZY      ;
ELEAGUE Major 2018;2018-01-28T11:00:00.000Z;DreamEaters;
FACEIT Major 2018;2018-09-23T10:00:00.000Z;fnatic     ;633750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;NiP        ;384500
FACEIT Major 2018;2018-09-23T10:00:00.000Z;VeryGames  ;22000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Complexity ;67000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;LGB        ;34000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Recursive  ;10000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Reason     ;4000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;SK         ;677000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Xapso      ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;iBUYPOWER  ;8000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Dignitas   ;64750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;LDLC       ;132000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;HellRaisers;67750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;3DMAX      ;4000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Titan      ;10000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;mousesports;84750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Cloud9     ;544250
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Epsilon    ;10000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Wolves     ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;dAT        ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;PENTA      ;28750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;ESC        ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;FlipSid3   ;69250
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Bravado    ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;myXMG      ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Planetkey  ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Envy       ;198250
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Keyd       ;10000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;TSM        ;42000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;CLG        ;49750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Luminosity ;520000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Kinguin    ;10000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Renegades  ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Immunity   ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;eBettle    ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;G2         ;100750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Liquid     ;309500
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Vexed      ;2000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Astralis   ;1183750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Gambit     ;587500
FACEIT Major 2018;2018-09-23T10:00:00.000Z;FaZe       ;246250
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Splyce     ;8750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;OpTic      ;17500
FACEIT Major 2018;2018-09-23T10:00:00.000Z;North      ;78750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;GODSENT    ;8750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Immortals  ;150000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;BIG        ;78750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;MIBR       ;70000
FACEIT Major 2018;2018-09-23T10:00:00.000Z;TYLOO      ;8750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Winstrike  ;8750
FACEIT Major 2018;2018-09-23T10:00:00.000Z;ENCE       ;
FACEIT Major 2018;2018-09-23T10:00:00.000Z;AVANGAR    ;
FACEIT Major 2018;2018-09-23T10:00:00.000Z;Vitality   ;
FACEIT Major 2018;2018-09-23T10:00:00.000Z;NRG        ;
FACEIT Major 2018;2018-09-23T10:00:00.000Z;CR4ZY      ;
FACEIT Major 2018;2018-09-23T10:00:00.000Z;DreamEaters;
IEM Katowice 2019;2019-03-03T11:00:00.000Z;fnatic     ;633750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;NiP        ;419500
IEM Katowice 2019;2019-03-03T11:00:00.000Z;VeryGames  ;22000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Complexity ;75750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;LGB        ;34000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Recursive  ;10000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Reason     ;4000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;SK         ;677000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Xapso      ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;iBUYPOWER  ;8000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Dignitas   ;64750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;LDLC       ;132000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;HellRaisers;76500
IEM Katowice 2019;2019-03-03T11:00:00.000Z;3DMAX      ;4000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Titan      ;10000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;mousesports;84750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Cloud9     ;553000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Epsilon    ;10000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Wolves     ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;dAT        ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;PENTA      ;28750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;ESC        ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;FlipSid3   ;69250
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Bravado    ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;myXMG      ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Planetkey  ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Envy       ;198250
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Keyd       ;10000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;TSM        ;42000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;CLG        ;49750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Luminosity ;520000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Kinguin    ;10000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Renegades  ;37000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Immunity   ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;eBettle    ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;G2         ;109500
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Liquid     ;344500
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Vexed      ;2000
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Astralis   ;1683750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Gambit     ;587500
IEM Katowice 2019;2019-03-03T11:00:00.000Z;FaZe       ;281250
IEM Katowice 2019;2019-03-03T11:00:00.000Z;Splyce     ;8750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;OpTic      ;17500
IEM Katowice 2019;2019-03-03T11:00:00.000Z;North      ;78750
IEM Katowice 2019;2019-03-03T11:00:00.000Z;GODSENT    ;8750
