Event;Date;Team;Winnings
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;ENCE       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;AVANGAR    ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Vitality   ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;NRG        ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;CR4ZY      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;DreamEaters;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;fnatic     ;270000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;NiP        ;300000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;VeryGames  ;22000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Complexity ;32000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;LGB        ;34000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Recursive  ;10000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Reason     ;4000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;SK         ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Xapso      ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;iBUYPOWER  ;8000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Dignitas   ;54000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;LDLC       ;132000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;HellRaisers;24000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;3DMAX      ;4000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Titan      ;6000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;mousesports;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Cloud9     ;14000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Epsilon    ;10000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Wolves     ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;dAT        ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;PENTA      ;20000
